Tag	Latency Normalized	Power
885	0.9735439828	124.946137
886	0.8498177318	130.048352
887	0.8524645318	130.810349
888	0.7143035931	145.906892
889	0.7158299683	146.668652
890	0.7162201268	147.323635
891	0.7169747109	147.992024
892	0.7234453288	149.062229
893	0.7283423311	149.85401
894	0.7288067108	150.429268
895	0.7293047471	151.040934
896	0.7296474644	151.540337
897	0.7310583468	152.189449
898	0.7315364988	152.671825
899	0.7350942189	153.471802
900	0.735415673	153.993491
901	0.7377798526	154.592268
902	0.7373175393	155.105341
903	0.7364644508	155.719524
904	0.741652676	156.504542
905	0.7464117422	157.41808
906	0.7497933382	158.117308
907	0.7501984978	158.512013
908	0.7547073218	159.232121
909	0.7552105516	159.653516
910	0.756205374	160.012948
911	0.5942723879	173.467271
912	0.6515493817	176.299917
913	0.6533078638	175.986087
914	0.6549925167	175.654535
915	0.6565671861	175.321389
916	0.6581534518	175.002828
917	0.6598329781	174.655287
918	0.6614293041	174.353574
919	0.6629267653	174.02472
920	0.6645948292	173.68738
921	0.6660832517	173.354636
922	0.6677822897	172.977973
923	0.6695263439	172.583376
924	0.6710621611	172.233619
925	0.6726246638	171.859788
926	0.6740529577	171.458361
927	0.675675961	171.050716
928	0.6773486429	170.631459
929	0.6787718269	170.222079
930	0.6805027237	169.744009
931	0.6824306827	169.208446
932	0.6867014092	168.388649
933	0.6909249257	167.576664
934	0.6947991217	166.807752
935	0.698622494	165.905835
936	0.7028458727	164.949389
937	0.7256434817	161.743183
938	0.7293590256	160.766452
939	0.7395033052	159.159573
940	0.7478590198	157.778882
941	0.7557832773	156.542682
942	0.7667672591	155.075981
943	0.7890493625	151.747421
944	0.7914340716	150.820761
945	0.791094465	149.592857
946	0.7940522312	148.287101
947	0.8035849263	146.878014
948	0.8096101262	145.696623
949	0.819775275	144.290639
950	0.824375152	143.107726
951	0.8342189958	141.651708
952	0.8386849001	140.603198
953	0.8469345732	139.527763
954	0.8461455637	138.376222
955	0.8526011422	137.296527
956	0.8579526419	136.285944
957	0.8647022385	135.389069
958	0.8706034751	134.361064
959	0.8659886529	133.040021
960	0.8694797501	132.209679
961	0.8757223387	131.160916
962	0.8815347667	129.79479
963	0.8987532383	128.256387
964	0.9064480294	127.407927
965	0.9071174476	126.345065
966	0.9135213145	125.462141
967	0.9234340079	124.612112
968	0.923574019	123.498494
969	0.9305514343	122.725161
970	0.9418044141	121.69708
971	0.9421162223	120.69873
972	0.9475490912	119.726418
